,type,in_strength_1,in_strength_2,out_strength_1,out_strength_2,in_out_strength_1,in_out_strength_2,motif_4_1,motif_4_2,motif_5_1,motif_5_2,motif_6_1,motif_6_2,motif_7_1,motif_7_2,motif_8_1,motif_8_2,motif_9_1,motif_9_2,motif_10_1,motif_10_2,motif_11_1,motif_11_2,motif_12_1,motif_12_2,motif_13_1,motif_13_2,motif_14_1,motif_14_2,motif_15_1,motif_15_2,motif_16_1,motif_16_2,NetEMD_upper_1,NetEMD_upper_2,NetEMD_lower_1,NetEMD_lower_2,NetEMD_comb_1,NetEMD_comb_2,NetEMD_rw_1,NetEMD_rw_2,gaw_score,gaw10_score,gaw20_score,degree_std,first_density,second_density,third_density,small_community,first_strength,second_strength,upper_ipr_1,upper_exp_1,upper_ipr_2,upper_exp_2,upper_ipr_3,upper_exp_3,upper_ipr_4,upper_exp_4,upper_ipr90,upper_abs90,upper_sign_stat_1,upper_sign_stat_2,upper_sign_equal_1,upper_sign_equal_2,upper_absolute_value,lower_ipr_1,lower_exp_1,lower_ipr_2,lower_exp_2,lower_ipr_3,lower_exp_3,lower_ipr_4,lower_exp_4,lower_ipr90,lower_abs90,lower_sign_stat_1,lower_sign_stat_2,lower_sign_equal_1,lower_sign_equal_2,lower_absolute_value,comb_ipr_1,comb_exp_1,comb_ipr_2,comb_exp_2,comb_ipr_3,comb_exp_3,comb_ipr_4,comb_exp_4,comb_ipr90,comb_abs90,comb_sign_stat_1,comb_sign_stat_2,comb_sign_equal_1,comb_sign_equal_2,comb_absolute_value,rw_ipr_1,rw_exp_1,rw_ipr_2,rw_exp_2,rw_ipr_3,rw_exp_3,rw_ipr_4,rw_exp_4,rw_ipr90,rw_abs90,rw_sign_stat_1,rw_sign_stat_2,rw_sign_equal_1,rw_sign_equal_2,rw_absolute_value,path_2,path_3,path_4,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_5
0,ring,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.452276734638265,2.4425567526284144,0.033459681542854995,0.2138486882050878,0,1.535731355481674,0.021037415828516082,0.0,0.0,13.530828139044278,12.05054448641345,15.751185907593502,15.664266474152473,10.6932313960964,10.886658708016707,0.0,0.0,0.0,0.0,0.0,0.0,1.5932534624296928,0.0,0.0,11.785155644957818,9.90115544323941,0.0,0.0,5.574296003026818,5.717393202350249,0.0,0.0,0.0,0.0,0.0,0.0,2.954592191009465,0.0,0.0,7.98236544019802,7.731245258216058,5.368548419894218,8.026038333662648,6.029346022337318,4.0067120363737185,1.9835735402374772,0.0,0.0,0.0,0.0,0.0,0.8929657542570842,0.0,0.0,4.3127599424420495,5.818715170578454,0.0,0.0,8.674729863346542,8.621317088421083,0.0,0.0,0.0,0.0,0.0,0.0,1.3851615999598599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18648140556554085,0.0,0.0,0.0
1,path,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7134064890483488,3.170051383542741,0.06469492619474981,1.7726487407007634,0,1.6599614849792292,0.033876764999576106,6.5386278244502165,3.8081570507895015,0.0,0.0,0.0,0.0,0.0,0.0,2.1380759056281904,0.0,0.0,0.0,0.0,0.0,1.0917558411457062,12.452170929186998,6.2528362996285605,5.298358462366737,4.6562906620378675,8.0,8.0,1.741243114092577,1.9419408161020824,3.7334517906620817,0.0,0.0,0.0,0.0,0.0,1.9711985986067226,3.42369520125935,1.694241409055213,0.0,1.702563153575865,0.0,0.0,0.0,0.0,6.958428005619878,2.011880034307497,2.12216138637433,0.07073871287914434,0.0,0.0,0.7466396680354145,4.228875620960124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678241278988602,0.0,0.0,0.0,0.0,0.0,1.4100871223496578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15686003437596435,0.0,0.0
2,tree,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.452276734638265,3.170051383542741,0.06469492619474981,1.7726487407007634,0,1.6599614849792292,0.033876764999576106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1376719714357397,0.0,0.0,1.9713421264964235,3.0145533428151507,1.8964183679341144,2.9138884462421832,3.6747539690850166,4.050213990623171,0.0,0.0,0.0,0.0,0.0,0.0,2.9429371569013894,0.0,0.0,0.0,0.0,3.297876100902677,3.940489500451307,1.9774751661975032,1.7685025979420812,3.410986653193979,0.0,0.0,0.0,0.0,0.0,0.8756123574912545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.684961289478066,0.0,0.0,0.0,0.0,0.0,0.0,1.3928113103948818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04923988175115393,0.0,0.0,0.0,0.0
3,tree,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9745362434584327,2.3157929446017143,0.024636095155337386,0.0,0,1.3382217006432944,0.014236401070673345,6.5386278244502165,3.8081570507895015,0.0,0.0,0.0,0.0,0.0,0.0,2.1380759056281904,0.0,0.0,0.0,0.0,0.0,1.9202744747733558,12.452170929186998,6.2528362996285605,5.298358462366737,4.6562906620378675,8.0,8.0,1.741243114092577,1.9419408161020824,3.7334517906620817,0.0,2.9857526667186582,0.15714487719571885,0.0,0.0,1.0297260500926708,3.42369520125935,1.694241409055213,0.0,1.702563153575865,0.0,0.0,0.0,0.0,6.958428005619878,2.011880034307497,2.12216138637433,0.07073871287914434,0.0,0.0,1.7028133374462975,4.228875620960124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678241278988602,0.0,0.0,0.0,0.0,0.0,1.4962476897060724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17392525424411281,0.0
4,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06998277418190264,1.8402813082528386,0.014605407208355863,0.0,0,1.2423589455804385,0.009859991631590782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9678595396101781,0.0,0.0,1.9713421264964235,3.0145533428151507,1.8964183679341144,2.9138884462421832,3.6747539690850166,4.050213990623171,0.0,0.0,0.0,0.0,0.0,0.0,1.776873433427249,0.0,0.0,0.0,0.0,3.297876100902677,3.940489500451307,1.9774751661975032,1.7685025979420812,3.410986653193979,0.0,0.0,0.0,0.0,0.0,2.2698935477627726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.684961289478066,0.0,0.0,0.0,0.0,0.0,0.0,2.109939782376027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031211391216029387,0.0,0.0,0.025018094799021288,0.03090600461078887,0.0
5,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060582103023139273,4.62421623453652,0.12845045095934776,4.888482383649378,0,1.733300834925501,0.04814724541459725,11.073758371419192,3.887391681170578,0.0,0.0,0.0,0.0,0.0,0.0,2.384105345291987,1.660537795024404,0.0,0.0,0.0,0.0,0.9956410273284535,9.880855702754145,5.564038623442783,1.7150695730336305,2.1171770553132485,0.0,0.0,0.0,0.0,3.4729900561010876,0.0,0.0,0.0,0.0,0.0,2.000127128641603,5.373816648275108,5.385911029913177,11.118036320241623,10.16442695711019,0.0,0.0,0.0,0.0,6.798050516801995,1.6989024035952265,3.8006767896774174,0.08734062257548544,0.0,0.0,0.6590520499788406,2.7808224220682725,2.0905497651930145,0.0,0.0,0.0,2.6073106072718133,0.0,0.0,11.775206186099766,0.0,0.0,0.0,0.0,0.0,1.2976006310902943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026178736412428207,0.20194809678601328,0.0
6,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.582841611843307,2.1317476310937704,0.02537794798921155,0.0,0,1.296750029741605,0.015437500354066727,0.0,0.0,32.702186173474566,35.53163250688062,28.825873249629264,29.08773464682865,50.6517057889722,47.82994314446783,0.0,0.0,0.0,0.0,0.0,0.0,1.577551226829274,0.0,0.0,54.95738316575338,54.33978685660302,40.0,43.434876552002905,49.57282777140638,37.53201688305585,0.0,0.0,0.0,0.0,0.0,0.0,2.292138127422124,0.0,0.0,33.93438153430025,38.2610072345921,24.0,25.74166105665342,60.414073743965275,53.868184718833646,0.0,0.0,0.0,0.0,0.0,0.0,2.8279073812654194,0.0,0.0,86.98640342522756,87.46106289825708,82.05331547645616,83.62526369390721,96.1900120980464,76.59685270193691,0.0,0.0,0.0,0.0,0.0,0.0,2.8525038841109476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058186039058678356,0.0981956123937236,0.0
7,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2356659978685165,3.170051383542741,0.06469492619474981,1.7726487407007634,0,1.6599614849792292,0.033876764999576106,6.5386278244502165,3.8081570507895015,0.0,0.0,0.0,0.0,0.0,0.0,2.1380759056281904,0.0,0.0,0.0,0.0,0.0,1.0750433048286592,12.452170929186998,6.2528362996285605,5.298358462366737,4.6562906620378675,8.0,8.0,1.741243114092577,1.9419408161020824,3.7334517906620817,0.0,0.0,0.0,0.0,0.0,2.012558161887842,3.42369520125935,1.694241409055213,0.0,1.702563153575865,0.0,0.0,0.0,0.0,6.958428005619878,2.011880034307497,0.0,0.0,0.0,0.0,1.3092253241195009,4.228875620960124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678241278988602,0.0,0.0,0.0,0.0,0.0,1.6329779252744805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02367167599495303,0.0
8,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.582841611843307,2.1317476310937704,0.02537794798921155,0.0,0,1.296750029741605,0.015437500354066727,11.073758371419192,3.887391681170578,0.0,0.0,0.0,0.0,0.0,0.0,2.384105345291987,1.660537795024404,0.0,0.0,0.0,0.0,0.8230814072381865,9.880855702754145,5.564038623442783,1.7150695730336305,2.1171770553132485,0.0,0.0,0.0,0.0,3.4729900561010876,0.0,0.0,0.0,0.0,0.0,1.2679438816359196,5.373816648275108,5.385911029913177,11.118036320241623,10.16442695711019,0.0,0.0,0.0,0.0,6.798050516801995,1.6989024035952265,0.0,0.0,0.0,0.0,1.2574981381059747,2.7808224220682725,2.0905497651930145,0.0,0.0,0.0,2.6073106072718133,0.0,0.0,11.775206186099766,0.0,0.0,0.0,0.0,0.0,2.3212995490471884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21144241757233556,0.38225215827628417,0.4263960594782178,0.0
9,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5922422830020703,1.9582593649412656,0.019982238417768017,0.0,0,1.3115193841555655,0.01338285085873026,5.484812269269568,0.0,0.0,1.9691034288783718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1475537378039868,3.1011600683340594,2.1899326860802906,1.90834093236107,2.162956353869167,0.0,0.0,3.155670523120801,2.3505496961710106,0.0,0.0,0.0,0.0,0.0,0.0,2.8050219798680347,12.45634667383521,15.982467316851467,21.625486732605495,20.40536684649085,7.378675364896241,6.833685314914402,9.678640586832067,7.078903958077673,0.0,0.0,0.0,0.0,0.0,0.0,0.868863313024608,5.961847663932219,0.0,2.1869851091223653,2.9574405942613886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6188623674153375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08689033218251575,0.0,0.0,0.0,0.32496177532777865,0.0
