,gaw_score,gaw10_score,gaw20_score,degree_std,first_density,second_density,third_density,small_community,first_strength,second_strength,in_strength_1,in_strength_2,out_strength_1,out_strength_2,in_out_strength_1,in_out_strength_2,motif_4_1,motif_4_2,motif_5_1,motif_5_2,motif_6_1,motif_6_2,motif_7_1,motif_7_2,motif_8_1,motif_8_2,motif_9_1,motif_9_2,motif_10_1,motif_10_2,motif_11_1,motif_11_2,motif_12_1,motif_12_2,motif_13_1,motif_13_2,motif_14_1,motif_14_2,motif_15_1,motif_15_2,motif_16_1,motif_16_2,NetEMD_upper_1,NetEMD_upper_2,NetEMD_lower_1,NetEMD_lower_2,NetEMD_comb_1,NetEMD_comb_2,NetEMD_rw_1,NetEMD_rw_2,upper_ipr_1,upper_exp_1,upper_ipr_2,upper_exp_2,upper_ipr_3,upper_exp_3,upper_ipr_4,upper_exp_4,upper_ipr90,upper_abs90,upper_sign_stat_1,upper_sign_stat_2,upper_sign_equal_1,upper_sign_equal_2,upper_absolute_value,lower_ipr_1,lower_exp_1,lower_ipr_2,lower_exp_2,lower_ipr_3,lower_exp_3,lower_ipr_4,lower_exp_4,lower_ipr90,lower_abs90,lower_sign_stat_1,lower_sign_stat_2,lower_sign_equal_1,lower_sign_equal_2,lower_absolute_value,comb_ipr_1,comb_exp_1,comb_ipr_2,comb_exp_2,comb_ipr_3,comb_exp_3,comb_ipr_4,comb_exp_4,comb_ipr90,comb_abs90,comb_sign_stat_1,comb_sign_stat_2,comb_sign_equal_1,comb_sign_equal_2,comb_absolute_value,rw_ipr_1,rw_exp_1,rw_ipr_2,rw_exp_2,rw_ipr_3,rw_exp_3,rw_ipr_4,rw_exp_4,rw_ipr90,rw_abs90,rw_sign_stat_1,rw_sign_stat_2,rw_sign_equal_1,rw_sign_equal_2,rw_absolute_value,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,type
0,0.0,0.0,0.0,0.5852479723831743,1.7067509671321224,0.014463991246882394,0.0,0,1.2671032219483256,0.010738162897867167,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63749019717459,12.554543240611682,0.0,0.0,4.477961950582383,2.4805200425872753,0.0,0.0,0.0,0.0,0.0,0.0,2.1702624517853857,0.0,0.0,0.0,1.756472480369309,8.0,8.0,3.8740751809635903,3.9735860373892224,0.0,0.0,0.0,0.0,0.0,0.0,1.8261630028419482,0.0,0.0,0.0,1.7164042022070622,0.0,0.0,4.41236668889371,5.07967442605101,0.0,0.0,0.0,0.0,0.0,0.0,2.0358255842809885,0.0,0.0,15.18894816765793,12.460646007697207,8.0,9.725916155757027,5.041844972033208,2.6280124797227167,0.0,0.0,0.0,0.0,0.0,0.0,1.9949732238116338,0.0,0.0,0.0,0.0,0.0,0.2458380497810857,0.0,0.18447639432472723,0.516064301138194,0.20288423892222068,0.47654380861931495,0.5579491057535133,0.11442609570273177,0.024709831765885447,0.0,0.0,0.21756967936305183,0.0,0.0,0
1,0.0,0.0,0.0,-0.4194695767724904,1.753292886463079,0.01565440077199178,0.0,0,1.2895644281525496,0.011513968108504908,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.742827280849805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039165513951541,0.0,0.0,0.0,0.0,0.0,1.417715683710726,15.40252833782171,5.178019949789396,3.783715712686228,3.883186368978083,0.0,0.0,0.0,0.0,4.928862493863429,0.0,0.0,0.0,0.0,0.0,1.444317074037226,4.487052379289123,2.2295955613201177,0.0,0.0,0.0,0.0,2.096468783219278,0.0,2.019752422124098,0.0,0.0,0.0,0.0,0.0,1.0565681546680687,10.569307024518531,5.907136589130769,0.0,0.0,0.0,0.0,0.0,1.667071787332635,0.0,0.0,0.0,0.0,0.0,0.0,1.4694527521418876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4988429578975547,0.15581559262229705,0.8885674900471581,0.6873135078566438,0.7907347524474655,0.0,0.46973399754749173,0.507684184328444,0.0,0.34502944700547594,0.0,0.04654641163957848,0
2,0.0,0.0,0.0,0.2084788914498,1.8918991355649566,0.016170078081751766,0.0,0,1.3037226756003903,0.011142928851285388,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.480932702591907,28.359329207075735,0.0,0.0,0.0,0.0,0.0,0.0,22.931822107301542,38.61212383513988,29.20532052985181,0.42143772021948417,0.0,0.0,1.5116888947504163,33.24072711699698,37.391031698595455,0.0,0.0,0.0,0.0,3.3971804299593216,3.709389208586828,15.017866685614681,35.97783001719113,19.519036995145285,0.2884503468742111,0.0,0.0,1.6747588995793694,25.599393999583235,27.07717235008226,8.0,8.0,0.0,0.0,6.183229107275104,2.658104763720702,8.278936146699731,27.917574870221884,14.706985486038942,0.21268507547311286,0.0,0.0,0.5374298321132212,19.768797145217782,31.631056903703215,0.0,0.0,0.0,0.0,0.0,0.0,18.650225018966083,34.68708224205891,15.709271388934878,0.2289921821206169,0.0,0.0,1.3922627679104551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37989435679310657,0.0,0.8066987856763589,0.9718996079233275,0.7733304342187831,0.33033508441974746,0.21189667083191302,0.3110441594863681,0.0,0.031467846901524814,0.23545535738153447,0.33849095990881406,0
3,0.0,0.0,0.0,-0.2938798831280323,1.7696171046470455,0.01566032835970837,0.0,0,1.3303958868986878,0.011773414928306972,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.742827280849805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039165513951541,0.0,0.0,0.0,0.0,0.0,1.7454253483565152,15.40252833782171,5.178019949789396,3.783715712686228,3.883186368978083,0.0,0.0,0.0,0.0,4.928862493863429,0.0,0.0,0.0,0.0,0.0,0.7565157951423764,4.487052379289123,2.2295955613201177,0.0,0.0,0.0,0.0,2.096468783219278,0.0,2.019752422124098,0.0,0.0,0.0,0.0,0.0,2.7566243688641054,10.569307024518531,5.907136589130769,0.0,0.0,0.0,0.0,0.0,1.667071787332635,0.0,0.0,0.0,0.0,0.0,0.0,1.496858001851539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110448616189781,0.4362268230292059,0.9138575044712798,0.7641856964886391,0.20179593417224168,0.20531403386774738,0.6035607879358706,0.06005496814044509,0.1425846957395363,0.2535177682939257,0.0,0.39465252986789295,0
4,0.0,0.0,0.0,0.2084788914498,1.7696171046470455,0.01566032835970837,0.0,0,1.3303958868986878,0.011773414928306972,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.565818491514518,7.2998970498165345,8.0,8.0,19.727561134760464,16.961098774710628,0.0,0.0,0.0,0.0,0.0,0.0,2.2615419727308996,0.0,0.0,1.8804315070520874,2.6960617877175888,0.0,1.7406776190524433,10.20708907363486,8.245443167090361,0.0,0.0,0.0,0.0,0.0,0.0,2.0618914840200113,0.0,0.0,5.754099551997003,6.418928065960369,0.0,0.0,0.0,2.0724673081668237,0.0,0.0,0.0,0.0,0.0,0.0,2.6287409454422144,0.0,0.0,3.38180784665815,4.746162227384577,8.0,8.0,10.078769246235192,11.036377753411726,0.0,0.0,0.0,0.0,0.0,0.0,2.231008800937507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38696749887588316,1.0822281237997782,1.1090085236175287,0.5795288557150453,0.3373033656410359,0.7366294902844955,0.0,0.0,0.0,0.20594882707618137,0.03619634254698927,0
5,0.0,0.0,0.0,-2.0521355941504456,1.6879976096470053,0.013950393468157069,0.0,0,1.2386261235843323,0.010236579533754812,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63749019717459,12.554543240611682,0.0,0.0,4.477961950582383,2.4805200425872753,0.0,0.0,0.0,0.0,0.0,0.0,2.7241457872289394,0.0,0.0,0.0,1.756472480369309,8.0,8.0,3.8740751809635903,3.9735860373892224,0.0,0.0,0.0,0.0,0.0,0.0,0.9545052935770841,0.0,0.0,0.0,1.7164042022070622,0.0,0.0,4.41236668889371,5.07967442605101,0.0,0.0,0.0,0.0,0.0,0.0,3.16743783643214,0.0,0.0,15.18894816765793,12.460646007697207,8.0,9.725916155757027,5.041844972033208,2.6280124797227167,0.0,0.0,0.0,0.0,0.0,0.0,1.6955888168872644,0.0,0.0,0.0,0.0,0.0,0.8965341050278304,0.07627405466525879,0.0,0.0,0.6764248881653925,0.0,0.578009382339946,0.46776143132437714,0.0,0.01874461667425256,0.0,0.002818960501166878,0.0,0.0,0
6,0.0,0.0,0.0,-1.424187125928155,1.6879976096470053,0.013950393468157069,0.0,0,1.2386261235843323,0.010236579533754812,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.64345353196239,8.0,8.0,6.978620211715031,4.916482671712351,0.0,0.0,0.0,0.0,0.0,0.0,1.9273799161210643,0.0,0.0,8.667892595449986,8.288327548349876,0.0,0.0,4.279528061685111,8.047431978625134,0.0,0.0,0.0,0.0,0.0,0.0,2.334363815186108,0.0,0.0,0.0,0.0,0.0,0.0,1.9789501376736947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647638158413755,0.0,0.0,6.394178073051302,8.012673409069954,0.0,0.0,4.334806078797764,5.179026172603611,0.0,0.0,0.0,0.0,0.0,0.0,2.2199652809388097,0.0,0.0,0.0,0.0,0.0,0.14735476078487036,0.0,0.0,0.0,0.0,0.485216059343218,0.02250100990240319,0.06179685542582903,0.3989550984263005,0.0,0.0,0.0,0.031496189077776494,0.0,0
7,0.0,0.0,0.0,-0.9218283513503227,1.8715382988797198,0.019097329580405303,0.0,0,1.3788941004889042,0.01407034796417249,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63749019717459,12.554543240611682,0.0,0.0,4.477961950582383,2.4805200425872753,0.0,0.0,0.0,0.0,0.0,0.0,1.908516062375285,0.0,0.0,0.0,1.756472480369309,8.0,8.0,3.8740751809635903,3.9735860373892224,0.0,0.0,0.0,0.0,0.0,0.0,1.9797411500253284,0.0,0.0,0.0,1.7164042022070622,0.0,0.0,4.41236668889371,5.07967442605101,0.0,0.0,0.0,0.0,0.0,0.0,1.5287468001121638,0.0,0.0,15.18894816765793,12.460646007697207,8.0,9.725916155757027,5.041844972033208,2.6280124797227167,0.0,0.0,0.0,0.0,0.0,0.0,1.6843343189158868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11035629663573046,0.0,0.629973070007255,0.7766569900966731,0.37956263799379386,0.15196398919710605,0.0,0.11283490070953145,0.0,0.059127463442299855,0.0,0.2934855403382516,0
8,0.0,0.0,0.0,1.715555215183297,1.6879976096470053,0.013950393468157069,0.0,0,1.2386261235843323,0.010236579533754812,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.161114784331733,0.0,0.0,0.0,0.0,0.0,1.0624034774611535,7.7718454757671545,4.439380135899844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077795152107424,6.516651247490944,5.451567026863488,0.0,0.0,8.0,8.0,4.6255163645205855,2.76757401446138,6.5527009163386,0.0,0.0,0.0,0.0,0.0,0.9216715126326218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.856319936756254,0.0,0.0,0.0,0.0,0.0,1.348306568068681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33658434831651934,0.923092704905343,1.137115825420207,0.0,0.30751667998665444,0.6108596631350697,0.0,0.0,0.17744616809199454,0.0,0.11465078315265928,0
9,0.0,0.0,0.0,0.4596582787387162,2.4648239851517557,0.030058829087216535,0.8660173379196835,0,1.6103259173094053,0.019638120942797627,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.565818491514518,7.2998970498165345,8.0,8.0,19.727561134760464,16.961098774710628,0.0,0.0,0.0,0.0,0.0,0.0,2.6212973997349285,0.0,0.0,1.8804315070520874,2.6960617877175888,0.0,1.7406776190524433,10.20708907363486,8.245443167090361,0.0,0.0,0.0,0.0,0.0,0.0,1.8510053096954968,0.0,0.0,5.754099551997003,6.418928065960369,0.0,0.0,0.0,2.0724673081668237,0.0,0.0,0.0,0.0,0.0,0.0,1.9074679465488764,0.0,0.0,3.38180784665815,4.746162227384577,8.0,8.0,10.078769246235192,11.036377753411726,0.0,0.0,0.0,0.0,0.0,0.0,1.5742344256750982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44174380600757834,0.0,0.4554384054504811,0.5232618206896997,0.20344151163419197,0.2481711845426528,0.0,0.22800221667085713,0.0,0.08360529158725521,0.0,0.05848971704013995,0
